"ID","Learning level","Spelling","Synthesis","Phonemic Synthesis","IllustrationFile","AudioFile","IsSimpleWord","IsSightWord","IsPhonicsWord"
"game","93","game",,"g/ei/m","","WordAudio_game.ogg","N","Y","N"
"frame","93","frame",,"f/r/ei/m","WordImage_frame.png","WordAudio_frame.ogg","N","Y","N"
"spots","54","spots","sp/o/t/s","sp/o/t/s","WordImage_spots.png","WordAudio_spots.ogg","Y","N","Y"
"bang","33","bang","b/a/ng","b/ae/ng","","WordAudio_bang.ogg","Y","N","Y"
"speech","54","speech","sp/ee/ch","sp/i:/tsh","","WordAudio_speech.ogg","Y","N","Y"
"jet","22","jet","j/e/t","dz/e/t","","WordAudio_jet.ogg","Y","N","Y"
"jam","22","jam","j/a/m","dz/ae/m","WordImage_jam.png","WordAudio_jam.ogg","Y","N","Y"
"jab","22","jab","j/a/b","dz/ae/b","","WordAudio_jab.ogg","Y","N","Y"
"jug","22","jug","j/u/g","dz/^/g","WordImage_jug.png","WordAudio_jug.ogg","Y","N","Y"
"sudden","21","sudden",,"s/^/d/n ","","WordAudio_sudden.ogg","N","N","N"
"moss","21","moss","m/o/ss","m/o/s","","WordAudio_moss.ogg","Y","N","Y"
"miss","21","miss","m/i/ss","m/i/s","","WordAudio_miss.ogg","Y","N","Y"
"mess","21","mess","m/e/ss","m/e/s","WordImage_mess.png","WordAudio_mess.ogg","Y","N","Y"
"job","22","job","j/o/b","dz/o/b","","WordAudio_job.ogg","Y","N","Y"
"less","21","less","l/e/ss","l/e/s","WordImage_less.png","WordAudio_less.ogg","Y","N","Y"
"hiss","21","hiss","h/i/ss","h/i/s","","WordAudio_hiss.ogg","Y","N","Y"
"fuss","21","fuss","f/u/ss","f/^/s","","WordAudio_fuss.ogg","Y","N","Y"
"boss","21","boss","b/o/ss","b/o/s","","WordAudio_boss.ogg","Y","N","Y"
"all_sightword","20","all",,,"","WordAudio_all.ogg","N","Y","N"
"tall","20","tall","t/a/ll","t/o:/l","WordImage_tall.png","WordAudio_tall.ogg","Y","N","Y"
"till","20","till","t/i/ll","t/i/l","","WordAudio_till.ogg","Y","N","Y"
"tell","20","tell","t/e/ll","t/e/l","","WordAudio_tell.ogg","Y","N","Y"
"sill","20","sill","s/i/ll","s/i/l","","WordAudio_sill.ogg","Y","N","Y"
"kiss","21","kiss","k/i/ss","k/i/s","WordImage_kiss.png","WordAudio_kiss.ogg","Y","N","Y"
"jog","22","jog","j/o/g","dz/o/g","","WordAudio_jog.ogg","Y","N","Y"
"jot","22","jot","j/o/t","dz/o/t","","WordAudio_jot.ogg","Y","N","Y"
"van","23","van","v/a/n","v/ae/n","WordImage_van.png","WordAudio_van.ogg","Y","N","Y"
"ox","25","ox","o/x","o/ks","WordImage_ox.png","WordAudio_ox.ogg","Y","N","Y"
"mix","25","mix","m/i/x","m/i/ks","","WordAudio_mix.ogg","Y","N","Y"
"fox","25","fox","f/o/x","f/o/ks","WordImage_fox.png","WordAudio_fox.ogg","Y","N","Y"
"fix","25","fix","f/i/x","f/i/ks","WordImage_fix.png","WordAudio_fix.ogg","Y","N","Y"
"box","25","box","b/o/x","b/o/ks","WordImage_box.png","WordAudio_box.ogg","Y","N","Y"
"was","24","was",,,"","WordAudio_was.ogg","N","Y","N"
"we_sightword","24","we",,,"","WordAudio_we.ogg","N","Y","N"
"wall","24","wall","w/a/ll","w/o:/l","WordImage_wall.png","WordAudio_wall.ogg","Y","N","Y"
"win","24","win","w/i/n","w/i/n","","WordAudio_win.ogg","Y","N","Y"
"will","24","will","w/i/ll","w/i/l","","WordAudio_will.ogg","Y","N","Y"
